USDAInspectionNumber,StoredCropID,PlantedCropID,StorageBinID,isEstimated,PercentOfHarvestedYield,PercentBruiseFree,PercentSixOz,PercentSoftRot,PercentTenOz,PercentUndersize,PercentUnusable,PercentUSDA1,SpecificGravity,PercentHollow,PercentInternalDiscolored,PercentMechanicalDamaged,PercentPinkEye,PercentPitScab
4766,CA7F8CEB-F26D-46D9-BD9B-1C63D5F0B665,919617AB-1B2B-434D-85B9-9634D6B634AA,2534CBD7-4F2B-4B48-BD85-D72F0931C79F,0,0.390014699,0.721,0.639,0.1,0.257,0.003,0.171,0.775,1.0944,0.039,0,0,0.023,0
4767,F0C7B58A-4704-4DF0-8618-A37CF2259DEF,A537AF38-0843-4254-ACC0-2B0206B1D408,0F39D7C8-D425-4BEF-8BE2-28D76F6826D8,0,0.217967014,0.87,0.695,0.009,0.253,0.008,0.065,0.891,1.0763,0.031,0,0,0.022,0
4768,BA012C15-D445-4708-85CD-E29E0D71E949,2DF7DA7D-4640-4715-BCD6-C8D24E1E3535,7AB433AC-A76D-4162-BCE7-AD20723AE24C,0,0.269404903,0.758,0.678,0.019,0.281,0.01,0.068,0.874,1.0818,0.03,0,0.001,0.006,0
4769,C7C1092B-CD28-49C8-BB7F-F8246CFD26E9,DC5A3A0C-103A-4DAB-BB2C-716F949681A7,051997C9-EA95-417D-BABB-B1A5F6F687FA,0,0.516333829,0.743,0.63,0.042,0.312,0.007,0.181,0.54,1.0802,0.04,0,0.002,0.01,0.063
4770,5C20A50B-FC7B-44DB-9FCC-C4DB5559C944,744C00AA-787E-4D60-9329-35ED5006620A,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.179087167,0.67,0.595,0.052,0.294,0.003,0.266,0.657,1.0844,0.185,0,0,0.009,0.003
4771,20453975-A8A3-494F-A5B4-682F138F2E95,53915A71-A607-42D8-BEC0-5A4B458C772C,F06697E3-F6C1-41B9-BE11-F3ABF450DBF8,0,0.145110929,0.742,0.49,0.04,0.16,0.05,0.072,0.812,1.0837,0.016,0,0,0.001,0
4772,4190F3B9-E758-4545-B2FC-2404E6175E33,E9B3B278-A309-4422-BA79-420A31E99998,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.256888246,0.75,0.585,0.03,0.35,0.004,0.319,0.611,1.0784,0.274,0,0,0.004,0
4773,92312BBF-8283-4BFB-B87A-36D338C8144D,A61EF0D6-AB5A-4512-838F-54D7CADF069C,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.12511143,0.485,0.581,0.103,0.234,0.008,0.203,0.658,1.0862,0.07,0,0,0.004,0
4774,85F5D844-2274-4B97-8D3C-9831207C2110,874C9534-64F5-4B72-942D-2835C4E553F9,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.338586,0.715,0.695,0.05,0.382,0.011,0.127,0.694,1.0821,0.025,0.005,0.003,0.013,0.011
4775,73630278-8A11-410C-BF13-B8ABF36B4A12,DF648429-0794-4D30-8639-A16E1ED8036C,00C6123F-413E-4BDB-9E83-8DE289DD0F8E,0,0.164392726,0.771,0.657,0.083,0.373,0.009,0.179,0.739,1.0857,0.064,0,0,0.013,0
4776,238BEBEB-9C23-485C-BE56-79F643C8F1BE,EE3F34D4-28EF-4B86-ACAB-D5FFC5A07028,00C6123F-413E-4BDB-9E83-8DE289DD0F8E,0,0.261666991,0.758,0.51,0.134,0.252,0.01,0.327,0.573,1.0863,0.169,0,0,0.007,0
4777,73EAAB84-A0AD-438A-AD2B-CEDDCA3844C7,85EC3A53-C0C1-4DBE-A670-8B85DDAEEC29,F45EF324-714D-4015-B88D-A46D537D515E,0,0.181934581,0.656,0.63,0.06,0.27,0.008,0.163,0.718,1.0778,0.06,0,0,0.016,0.002
4778,85F5D844-2274-4B97-8D3C-9831207C2110,874C9534-64F5-4B72-942D-2835C4E553F9,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.488716225,0.839,0.701,0.055,0.428,0.009,0.158,0.724,1.0812,0.06,0,0,0.012,0
4779,5C20A50B-FC7B-44DB-9FCC-C4DB5559C944,744C00AA-787E-4D60-9329-35ED5006620A,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.649347689,0.899,0.715,0.045,0.442,0.02,0.078,0.846,1.0861,0.003,0,0.003,0.019,0
4780,C7D55324-1FAB-4556-961D-4B1BE8A2F14C,F0413B80-AC6D-4050-8752-3DAF540B89EC,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.255766306,0.8,0.636,0.023,0.359,0.009,0.226,0.714,1.0818,0.178,0,0,0.012,0
4781,B8CC6AEF-439A-4F45-A374-927740911391,08EA119D-8F2A-49F6-9918-9C6486D2E220,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.245730772,0.854,0.68,0.019,0.282,0.011,0.052,0.817,1.0782,0,0,0.004,0.012,0.014
4764001,3AC02E6E-23CF-4DA3-B4D8-4F0B4A47AB7E,936790CF-5F1A-4C67-992F-8FAFCA4B60ED,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.013987024,0.818,0.746,0.053,0.467,0.008,0.124,0.748,1.0794,0.021,0,0.003,0.03,0
4772004,4190F3B9-E758-4545-B2FC-2404E6175E33,E9B3B278-A309-4422-BA79-420A31E99998,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.169602224,0.75,0.585,0.03,0.35,0.004,0.319,0.611,1.0784,0.274,0,0,0.004,0
